################################################################
# ThreatFox IOCs: recent additions - CSV format                #
# Last updated: 2026-05-07 13:10:02 UTC                        #
#                                                              #
# Terms Of Use: https://threatfox.abuse.ch/faq/#tos            #
# For questions please contact threatfox [at] abuse.ch         #
################################################################
#
# "first_seen_utc","ioc_id","ioc_value","ioc_type","threat_type","fk_malware","malware_alias","malware_printable","last_seen_utc","confidence_level","is_compromised","reference","tags","anonymous","reporter"
"2026-05-07 13:10:02", "1808195", "birc6-trail.fixionmunici9al.lat", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "", "100", "False", "None", "ClearFake", "1", "ttakvam"
"2026-05-07 13:08:21", "1808194", "launch-point.pav1mirex.lat", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-05-07 13:09:01", "100", "False", "None", "7May2026,ClearFake,Commandline,Windows", "0", "Gi7w0rm"
"2026-05-07 13:03:36", "1808193", "supplyvau.fixionmunici9al.lat", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-05-07 13:04:07", "100", "False", "None", "ClearFake", "1", "ttakvam"
"2026-05-07 13:01:49", "1808192", "solarvine.pav1mirex.lat", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-05-07 13:04:47", "100", "False", "None", "7May2026,ClearFake,Commandline,Windows", "0", "Gi7w0rm"
"2026-05-07 12:57:21", "1808191", "shellengi.pastor-publicist.lat", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-05-07 13:00:28", "100", "False", "None", "ClearFake", "0", "threatcat_ch"
"2026-05-07 12:52:48", "1808190", "h1ll-switch.pav1mirex.lat", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-05-07 12:53:12", "100", "False", "None", "ClearFake", "0", "threatcat_ch"
"2026-05-07 12:48:04", "1808189", "casual-hinge.pastor-publicist.lat", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-05-07 12:48:54", "100", "False", "None", "ClearFake", "0", "threatcat_ch"
"2026-05-07 12:46:07", "1808188", "irngvd.pav1mirex.lat", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-05-07 12:46:41", "100", "False", "None", "ClearFake", "0", "threatcat_ch"
"2026-05-07 12:41:53", "1808187", "rgd2.pastor-publicist.lat", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-05-07 12:42:23", "100", "False", "None", "ClearFake", "0", "threatcat_ch"
"2026-05-07 12:40:00", "1808186", "a3vrjnwj.xamir9el.lat", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-05-07 12:40:29", "100", "False", "None", "ClearFake", "1", "ttakvam"
