################################################################
# ThreatFox IOCs: recent additions - CSV format                #
# Last updated: 2026-05-09 11:56:36 UTC                        #
#                                                              #
# Terms Of Use: https://threatfox.abuse.ch/faq/#tos            #
# For questions please contact threatfox [at] abuse.ch         #
################################################################
#
# "first_seen_utc","ioc_id","ioc_value","ioc_type","threat_type","fk_malware","malware_alias","malware_printable","last_seen_utc","confidence_level","is_compromised","reference","tags","anonymous","reporter"
"2026-05-09 11:56:36", "1809539", "cqrsjc6.pixel-harbor.life", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-05-09 11:57:03", "100", "False", "None", "ClearFake", "1", "ttakvam"
"2026-05-09 11:56:30", "1809538", "suddenhar.currencysn0ut.pics", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-05-09 11:58:59", "100", "False", "None", "9May2026,ClearFake,Commandline,Windows", "0", "Gi7w0rm"
"2026-05-09 11:43:16", "1809535", "laye-zone.nova7frame.life", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-05-09 11:43:53", "100", "False", "None", "ClearFake", "0", "threatcat_ch"
"2026-05-09 11:42:52", "1809534", "r26pytag.ama1gamb1ast.digital", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "", "100", "False", "None", "clearfake", "1", "ttakvam"
"2026-05-09 11:42:26", "1809533", "vel-tideal.currencysn0ut.pics", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-05-09 11:42:54", "100", "False", "None", "9May2026,ClearFake,Commandline,Windows", "0", "Gi7w0rm"
"2026-05-09 11:41:51", "1809532", "8407yzrd.ama1gamb1ast.digital", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-05-09 11:42:23", "100", "False", "None", "ClearFake", "0", "threatcat_ch"
"2026-05-09 11:31:27", "1809531", "buffervoice.nova7frame.life", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-05-09 11:31:51", "100", "False", "None", "ClearFake", "0", "threatcat_ch"
"2026-05-09 11:31:18", "1809530", "sol-venor.currencysn0ut.pics", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-05-09 11:32:12", "100", "False", "None", "ClearFake", "0", "threatcat_ch"
"2026-05-09 11:19:44", "1809529", "optic-ivor.nova7frame.life", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-05-09 11:21:03", "100", "False", "None", "9May2026,ClearFake,Commandline,Windows", "0", "Gi7w0rm"
"2026-05-09 11:19:36", "1809528", "taltideis8.currencysn0ut.pics", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-05-09 11:24:15", "100", "False", "None", "9May2026,ClearFake,Commandline,Windows", "0", "Gi7w0rm"
